Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,120,400,157.0,949,0
2,120,300,246.0,730,0
3,80,800,190.0,799,0
4,80,100,528.0,898,0
5,80,900,311.0,638,0
6,160,100,443.0,681,0
7,200,800,318.0,574,0
8,160,400,179.0,482,0
9,80,700,127.0,782,0
10,200,700,135.0,656,0
11,200,200,301.0,723,0
12,80,800,213.0,553,0
13,120,700,70.0,631,0
14,120,900,313.0,813,0
15,80,400,224.0,654,0
16,160,800,237.0,654,0
17,200,200,316.0,560,0
18,120,300,286.0,959,0
19,120,700,121.0,556,0
20,120,700,114.0,854,0
21,160,300,277.0,777,0
22,160,300,238.0,838,0
23,160,200,347.0,786,0
24,160,900,335.0,616,0
25,80,400,200.0,740,0
26,120,1000,406.0,737,0
27,80,800,189.0,959,0
28,160,1000,462.0,801,0
29,80,100,522.0,1166,1
30,80,200,402.0,1072,0
31,80,900,314.0,682,0
32,160,100,432.0,662,0
33,160,900,312.0,580,0
34,200,400,184.0,539,0
35,80,300,291.0,780,0
36,80,900,299.0,661,0
37,160,400,194.0,516,0
38,80,200,383.0,859,0
39,120,200,379.0,831,0
40,160,200,364.0,733,0
41,160,200,336.0,715,0
42,80,1000,416.0,823,0
43,80,700,81.0,930,0
44,200,1000,457.0,752,0
45,80,700,100.0,859,0
46,200,700,134.0,629,0
47,200,300,225.0,575,0
48,200,800,238.0,716,0
49,200,200,324.0,642,0
50,120,300,263.0,814,0
51,80,200,404.0,733,0
52,160,100,454.0,800,0
53,160,1000,429.0,674,0
54,120,700,106.0,644,0
55,120,800,204.0,787,0
56,160,300,261.0,649,0
57,80,800,220.0,643,0
58,200,100,380.0,586,0
59,160,900,337.0,635,0
60,120,200,401.0,629,0
61,160,1000,425.0,615,0
62,160,900,318.0,921,0
63,120,300,285.0,619,0
64,160,700,156.0,484,0
65,120,1000,413.0,893,0
66,120,800,188.0,700,0
67,200,100,440.0,606,0
68,200,400,131.0,686,0
69,160,200,356.0,670,0
70,200,700,198.0,532,0
71,200,900,335.0,629,0
72,80,700,97.0,729,0
73,80,700,82.0,661,0
74,200,400,148.0,528,0
75,200,400,147.0,634,0
76,120,100,483.0,795,0
77,120,400,220.0,772,0
78,120,400,142.0,668,0
79,80,200,368.0,712,0
80,160,900,328.0,594,0
81,160,200,371.0,699,0
82,80,700,121.0,725,0
83,120,300,275.0,665,0
84,160,1000,476.0,669,0
85,200,200,350.0,647,0
86,200,900,370.0,630,0
87,200,800,233.0,786,0
88,200,800,292.0,799,0
89,200,1000,453.0,776,0
90,80,400,231.0,677,0
91,120,700,140.0,666,0
92,120,800,209.0,778,0
93,200,400,152.0,552,0
94,200,100,397.0,758,0
95,80,700,122.0,704,0
96,120,1000,391.0,921,0
97,120,400,194.0,553,0
98,160,1000,406.0,819,0
99,120,800,198.0,1048,0
100,120,700,119.0,563,0
101,120,300,283.0,584,0
102,80,900,296.0,679,0
103,160,200,352.0,659,0
104,200,200,323.0,748,0
105,160,400,154.0,698,0
106,80,800,218.0,554,0
107,120,300,281.0,728,0
108,200,1000,425.0,649,0
109,120,1000,411.0,939,0
110,200,200,333.0,506,0
111,80,400,219.0,851,0
112,120,200,384.0,823,0
113,200,700,194.0,494,0
114,120,100,479.0,848,0
115,120,300,274.0,809,0
116,200,300,239.0,677,0
117,120,900,341.0,713,0
118,200,800,253.0,677,0
119,80,400,209.0,559,0
120,160,900,357.0,648,0
121,120,100,452.0,736,0
122,80,400,210.0,790,0
123,120,400,163.0,603,0
124,80,200,395.0,680,0
125,200,700,238.0,507,0
126,160,700,139.0,476,0
127,160,1000,434.0,723,0
128,200,300,245.0,600,0
129,160,100,415.0,758,0
130,80,1000,430.0,768,0
131,200,400,155.0,488,0
132,120,200,364.0,713,0
133,120,100,512.0,897,0
134,200,800,302.0,766,0
135,160,1000,430.0,720,0
136,120,1000,452.0,874,0
137,80,300,314.0,690,0
138,200,1000,400.0,792,0
139,120,100,482.0,704,0
140,120,200,388.0,923,0
141,120,700,140.0,676,0
142,80,200,395.0,735,0
143,80,1000,399.0,759,0
144,160,100,479.0,777,0
145,160,300,279.0,820,0
146,120,400,187.0,980,0
147,120,800,207.0,640,0
148,160,400,185.0,528,0
149,120,400,147.0,588,0
150,160,1000,383.0,724,0
151,160,100,443.0,511,0
152,160,700,153.0,413,0
153,120,200,361.0,590,0
154,200,900,382.0,521,0
155,160,200,330.0,533,0
156,80,700,124.0,400,0
157,200,900,331.0,718,0
158,120,1000,404.0,903,0
159,160,100,492.0,720,0
160,200,800,227.0,412,0
161,120,800,178.0,765,0
162,120,700,117.0,594,0
163,160,400,161.0,417,0
164,160,900,306.0,571,0
165,80,400,203.0,440,0
166,120,300,269.0,629,0
167,120,200,343.0,650,0
168,120,300,252.0,582,0
169,160,800,226.0,461,0
170,80,200,389.0,670,0
171,80,1000,378.0,681,0
172,120,400,183.0,493,0
173,120,300,319.0,980,1
174,80,900,262.0,529,0
175,120,900,353.0,758,0
176,200,100,411.0,543,0
177,200,700,224.0,494,0
178,200,100,405.0,552,0
179,120,200,370.0,814,0
180,120,400,166.0,584,0
181,120,1000,419.0,777,0
182,120,800,216.0,709,0
183,200,100,367.0,578,0
184,200,700,188.0,410,0
185,80,300,319.0,540,0
186,120,800,236.0,406,0
187,120,400,166.0,420,0
188,200,400,74.0,430,0
189,120,300,283.0,463,0
190,160,900,313.0,504,0
191,80,200,380.0,645,0
192,200,800,246.0,498,0
193,160,300,233.0,422,0
194,160,100,492.0,719,0
195,120,1000,427.0,556,0
196,120,900,289.0,1053,1
197,80,700,70.0,544,0
198,200,200,297.0,592,0
199,120,900,349.0,547,0
200,200,400,209.0,383,0
201,160,1000,399.0,622,0
202,160,700,85.0,560,0
203,120,100,465.0,578,0
204,160,800,223.0,445,0
205,160,200,309.0,523,0
206,80,800,203.0,507,0
207,80,900,300.0,849,0
208,200,900,326.0,591,0
209,200,300,198.0,466,0
210,120,200,356.0,645,0
211,160,200,346.0,741,0
212,80,300,306.0,799,0
213,160,900,325.0,482,0
214,160,400,149.0,391,0
215,200,300,208.0,468,0
216,160,400,190.0,491,0
217,200,400,183.0,473,0
218,80,900,311.0,788,0
219,200,300,215.0,428,0
220,200,700,145.0,406,0
221,200,1000,490.0,667,0
222,200,200,348.0,581,0
223,200,900,385.0,475,0
224,160,700,98.0,601,0
225,120,800,198.0,634,0
226,160,400,149.0,427,0
227,80,900,302.0,774,0
